question_key	reason	question
Kalshi#46b74e548847	resolution='scalar'	Samsung Lions vs Hanwha Eagles (Samsung Lions)
Kalshi#46f50210dc69	resolution='scalar'	Pafos vs Salzburg (Tie)
Kalshi#4d764f87ed26	resolution='scalar'	Ulta transactions growth in Q2 (Above 2%)
Kalshi#4dca16a41a20	resolution='scalar'	Samsung Lions vs Hanwha Eagles (Hanwha Eagles)
Kalshi#4e0d2fd87f60	resolution='scalar'	NC Dinos vs KT Wiz (NC Dinos)
Kalshi#50333a467c7a	resolution='scalar'	PSG vs Stade Rennais (PSG)
Kalshi#50d2948a6fd3	resolution='scalar'	San Antonio Bulo Bulo vs Academia del Balompie Boliviano (Tie)
Kalshi#546ff1e21de9	resolution='scalar'	Chiba Lotte Marines vs Yomiuri Giants (Chiba Lotte Marines)
Kalshi#560f4d18f496	resolution='scalar'	Fukuoka Hawks vs Chiba Lotte Marines (Fukuoka Hawks)
Kalshi#5686747586d8	resolution='scalar'	Chiba Lotte Marines vs Yomiuri Giants (Chiba Lotte Marines)
Kalshi#583311e7cc90	resolution='scalar'	Tohoku Rakuten Golden Eagles vs Hanshin Tigers (Tohoku Rakuten Golden Eagles)
Kalshi#59b42c63868c	resolution='scalar'	Indianapolis vs New England (Indianapolis)
Kalshi#5f83bb396924	resolution='scalar'	megoshort vs. RoundsGG (megoshort)
Kalshi#5fcdd8f6b53a	resolution='scalar'	Hubli Tigers vs Mysore Warriors (Hubli Tigers)
Kalshi#63a52a950067	resolution='scalar'	Nantes vs Toulouse: Spread (Toulouse wins by over 1.5 goals)
Kalshi#6465e6d36ea2	resolution='scalar'	megoshort vs. RoundsGG (RoundsGG)
Kalshi#67b58877fd92	resolution='scalar'	Peak Strait of Hormuz traffic day? (7/6 - 7/12) (July 10)
Kalshi#699c535dea1f	resolution='scalar'	Fight Night: Dulatov vs Turman (Wellington Turman)
Kalshi#7178101a358e	resolution='scalar'	Hiroshima Toyo Carp vs Yokohama DeNA BayStars (Yokohama DeNA BayStars)
Kalshi#77c99f6580b4	resolution='scalar'	Yorkshire vs Warwickshire (Yorkshire)
Kalshi#7e3861d7088e	resolution='scalar'	ex-GUARA vs. Yawara Esports (Yawara Esports)
Kalshi#7f8688f5c6ac	resolution='scalar'	Kiwoom Heroes vs Lotte Giants (Kiwoom Heroes)
Kalshi#800a33fdd83d	resolution='scalar'	Nantes vs Toulouse (Tie)
Kalshi#81e1a0f8a7c4	resolution='scalar'	Fight Night: Dulatov vs Turman (Islam Dulatov)
Kalshi#81f5d0bf403b	resolution='scalar'	Fukuoka Hawks vs Chiba Lotte Marines (Chiba Lotte Marines)
Kalshi#82593408dc86	resolution='scalar'	Wyndham Championship: To Make the Cut (Taylor Moore)
Kalshi#8d1d9e1e3f46	resolution='scalar'	Nantes vs Toulouse: Total Goals (Over 2.5 goals scored)
Kalshi#8db32b3f7e63	resolution='scalar'	Highest Scoring Team in Group Stage (France)
Kalshi#8f66b597e626	resolution='scalar'	England vs India (India)
Kalshi#96fefb7f2c2e	resolution='scalar'	Band-E-Amir Dragons vs Speen Ghar Tigers (Speen Ghar Tigers)
Kalshi#981a781bb6fb	resolution='scalar'	GV Club Deportivo San Jose de Oruro vs CD Real Tomayapo (GV Club Deportivo San Jose de Oruro)
Kalshi#99ab3f05abc0	resolution='scalar'	Chiba Lotte Marines vs Yomiuri Giants (Yomiuri Giants)
Kalshi#9f26018a2707	resolution='scalar'	China vs Saudi Arabia (China)
Kalshi#a078d64a7e98	resolution='scalar'	San Francisco vs Atlanta: Spread (Atlanta wins by over 1.5 runs)
Kalshi#a5b67596ebbd	resolution='scalar'	Highest Scoring Team in Group Stage (Germany)
Kalshi#b03d0760f451	resolution='scalar'	Chiba Lotte Marines vs Yomiuri Giants (Yomiuri Giants)
Kalshi#b0b98af955b1	resolution='scalar'	San Antonio Bulo Bulo vs Academia del Balompie Boliviano (San Antonio Bulo Bulo)
Kalshi#b2c0604f7b11	resolution='scalar'	Lotte Giants vs SSG Landers (SSG Landers)
Kalshi#b5c0133032f8	resolution='scalar'	Somerset vs Warwickshire (Somerset)
Kalshi#b86103ef4675	resolution='scalar'	Arizona vs St. Louis (St. Louis)
Kalshi#bbf371e17413	resolution='scalar'	Derbyshire vs Yorkshire (Yorkshire)
Kalshi#c38bd5851ac7	resolution='scalar'	Detroit vs Cleveland (Cleveland)
Kalshi#c51409810c98	resolution='scalar'	Atlanta vs Chicago WS (Chicago WS)
Kalshi#c82e3f848032	resolution='scalar'	San Antonio Bulo Bulo vs Academia del Balompie Boliviano (Tie)
Kalshi#cb027bfd4669	resolution='scalar'	Atlanta vs Chicago WS (Atlanta)
Kalshi#cc05bed08006	resolution='scalar'	Somerset vs Warwickshire (Warwickshire)
Kalshi#cde69ddfa6af	resolution='scalar'	Surrey vs Hampshire (Surrey)
Kalshi#cec11bea0e41	resolution='scalar'	San Antonio Bulo Bulo vs Academia del Balompie Boliviano (San Antonio Bulo Bulo)
Kalshi#d0b02bb10c28	resolution='scalar'	PlayTime vs. Vici Gaming (Vici Gaming)
Kalshi#d1c902d7e580	resolution='scalar'	Pafos vs Salzburg (Salzburg)
Kalshi#d24915226958	resolution='scalar'	West Indies vs Sri Lanka (West Indies)
Kalshi#d3c1ad3b898c	resolution='scalar'	Pafos vs Salzburg (Pafos)
Kalshi#dc4fb4a141c5	resolution='scalar'	Group Stage: Fewest Goals Allowed (Mexico)
Kalshi#dc68dcbc2500	resolution='scalar'	San Francisco vs Los Angeles R: Touchdowns (CJ Daniels: 1+)
Kalshi#e29b172502d3	resolution='scalar'	Tohoku Rakuten Golden Eagles vs Hanshin Tigers (Hanshin Tigers)
Kalshi#e3e06da72245	resolution='scalar'	Peak Strait of Hormuz traffic day? (7/6 - 7/12) (July 6)
Kalshi#e6a53ac4bdfe	resolution='scalar'	Peak Strait of Hormuz traffic day? (7/6 - 7/12) (July 7)
Kalshi#ea0b5733e0d8	resolution='scalar'	LG Twins vs SSG Landers (SSG Landers)
Kalshi#ebfde631a893	resolution='scalar'	Nantes vs Toulouse (Toulouse)
Kalshi#ec5553e1d8b9	resolution='scalar'	NC Dinos vs KT Wiz (KT Wiz)
Kalshi#ed4fb505ad08	resolution='scalar'	West Indies vs Sri Lanka (Sri Lanka)
Kalshi#f28ab4188cbe	resolution='scalar'	Detroit vs Cleveland (Detroit)
Kalshi#f4f64338e963	resolution='scalar'	GV Club Deportivo San Jose de Oruro vs The Strongest (The Strongest)
Kalshi#f870ef66b6e0	resolution='scalar'	West Indies vs Sri Lanka (Sri Lanka)
Kalshi#f_141e2efc18	void_multiway	Tulane vs Duke: Total Points
Kalshi#f_1434aa78f5	void_multiway	Popeyes Classic Chicken Sandwich price in August 2026
Kalshi#f_1d20cf8288	void_multiway	How high will WTI oil get by Aug 31, 2026?
Kalshi#f_2d5495cf22	void_multiway	Highest temperature in Chicago on Sep 1, 2026?
Kalshi#f_57ff0a401c	void_multiway	Copper price on September 04, 2026 at 5:00 PM EDT?
Kalshi#f_6e4e7d3503	void_multiway	Justin Bieber: Highest daily view count (August 31, 2026 - September 6, 2026)
Kalshi#f_85cddb06b5	void_multiway	Silver price on September 04, 2026 at 5:00 PM EDT?
Kalshi#f_8ca382f983	void_multiway	How many times will Trump visit his D.C. golf club in Aug 2026?
Kalshi#f_a450cfb686	void_multiway	Oil Price (WTI) on Aug 31, 2026?
Kalshi#f_aa271a30b4	void_multiway	Larry Ellison net worth on Aug 31, 2026
Kalshi#f_ac07160ba4	void_multiway	Urban Outfitters Monthly Credit Card Spend in August
Kalshi#f_b1c0f98d7d	void_multiway	Kanye West: Highest daily view count (August 31, 2026 - September 6, 2026)
Kalshi#f_b91f8e2736	void_multiway	BTC price on Aug 31, 2026 at 5pm EDT?
Kalshi#f_cebd084b1d	void_multiway	Number of tornadoes in Aug 2026?
Kalshi#f_dcba125cd9	void_multiway	Taylor Swift: Highest daily view count in August 2026
Kalshi#f_df5720eb79	void_multiway	Brent crude oil price on August 31, 2026 at 5:00 PM EDT?
Kalshi#f_ed257e1913	void_multiway	New York M vs Tampa Bay
Kalshi#f_ed3c10558b	void_multiway	YoungBoy Never Broke Again: Highest daily view count in August 2026
Kalshi#f_f23b61e2cc	void_multiway	Trump's approval rating on Sep 4, 2026?
Kalshi#f_f7f65b3756	void_multiway	Average Get-In Price of the 2026 US Open Quarterfinals
Kalshi#f_fae68f5d12	void_multiway	ETH price on Sep 4, 2026 at 5pm EDT?
Kalshi#f_fd47758022	void_multiway	Copper price on August 31, 2026 at 5:00 PM EDT?
Kalshi#f_fed8daf93c	void_multiway	Price of NVIDIA A100 SXM4 compute by Aug 31, 2026?
Kalshi#fb20e413a162	resolution='scalar'	San Antonio Bulo Bulo vs Academia del Balompie Boliviano (Academia del Balompie Boliviano)
Polymarket#013a38af256b	voided	Dota 2: Team Bald vs Level UP (BO3) - EPL Masters Group B
Polymarket#02c04457ad8f	voided	Game 4: Both Teams Slay a Dragon?
Polymarket#03180a7a8e4f	voided	Game 5: Both Teams Slay a Dragon?
Polymarket#03bcca0be7b4	voided	Spurs vs. Knicks
Polymarket#07014d84cce3	voided	Game 3: Both Teams Slay Baron Nashor?
Polymarket#1ccd19162681	voided	Cincinnati Open: Botic van de Zandschulp vs Tallon Griekspoor
Polymarket#244c90683dd6	voided	Halle Open: Ben Shelton vs Nick Kyrgios
Polymarket#25d2876ad689	voided	Dota 2: Dandelions vs Level UP (BO3) - EPL Masters Play-In Group B
Polymarket#2dc0a3d2ef7d	voided	Map 3 Total Rounds: Over/Under 20.5
Polymarket#2de392a5e04e	voided	HSBC Championships: Ignacio Buse vs Rafael Jodar
Polymarket#30ebb56a446b	voided	Map 3 Rounds Handicap: T1 (-2.5) vs VARREL (+2.5)
Polymarket#329135d0d8b6	voided	Brownsburg: Gauthier Onclin vs Yi Zhou
Polymarket#346f6ef24def	voided	HSBC Championships: Tommy Paul vs Jaume Munar
Polymarket#353cc66bba9e	voided	Another pandemic before GTA VI?
Polymarket#417ba6eca2d1	voided	National Bank Open: Belinda Bencic vs Coco Gauff
Polymarket#485a8164c68c	voided	ITF Luan: Sam Ryan Ziegann vs Tsung Hao Huang
Polymarket#4bbcd0e08164	voided	Dota 2: Amaru Gaming vs Team Jenz (BO3) - EPL Masters Group A
Polymarket#6263fe12e28d	voided	Astana (Doubles): Kusuhara/Nakagawa vs Tazabekov/Zhalgasbay
Polymarket#67553781726a	voided	Counter-Strike: Lazer Cats vs Inner Circle Academy (BO3) - Thunderpick World Championship European Series #2 Group A
Polymarket#71fb5375c1c2	voided	Set Handicap: Khachanov (-2.5) vs Blockx (+2.5)
Polymarket#7912a8f2eb1f	voided	Counter-Strike: Entropy vs BOJONG (BO1) - ESEA Advanced Europe Regular Season
Polymarket#7c07089a8136	voided	HSBC Championships: Mika Stojsavljevic vs Marta Kostyuk
Polymarket#81c6a459bfba	voided	ITF Knokke-Heist: Luna Vujovic vs Lucia Cortez Llorca
Polymarket#82d8f9740e37	voided	ITF Brisbane: Chia Yi Tsao vs Emilie Chen
Polymarket#84d23abd19b5	voided	Set 1 Winner: Paul vs Munar
Polymarket#8561550d1c3d	voided	Game Handicap: Bald (-1.5) vs Level UP (+1.5)
Polymarket#86e09ae9a3ba	voided	Nottingham Open: Emma Raducanu vs Karolina Pliskova
Polymarket#8d34ea6a41b1	voided	UFC Fight Night: Miles Johns vs. Jessie Rosas (Featherweight, Main Card)
Polymarket#908e550837e9	voided	Porto: Daniel Michalski vs Alejandro Moro Canas
Polymarket#92095f9c376d	voided	Cary: Yosuke Watanuki vs Braden Shick
Polymarket#a3141c640b4a	voided	Counter-Strike: OldBoys vs Arch (BO1) - ESEA Advanced Europe Regular Season
Polymarket#a4193e116878	voided	Stuttgart Open, Qualification: Lorenzo Sonego vs Mert Alkaya
Polymarket#aa57436357fe	voided	ITF Changwon: Dayeon Back vs Su Jeong Jang
Polymarket#ae565dbcf067	voided	Cavaliers vs. Knicks
Polymarket#b8e02801a3de	voided	ODI Series West Indies vs Sri Lanka: West Indies vs Sri Lanka
Polymarket#b9198916df65	voided	Set Handicap: Munar (-1.5) vs Paul (+1.5)
Polymarket#c5e2a5d9e66d	voided	ITF Tauste: Louis Wessels vs Andrea Colombo
Polymarket#c7cac0265acc	voided	LoL: Gen.G vs KT Rolster - Game 4 Winner
Polymarket#c82e6bbd2b6e	voided	ITF Tauste: Yleymi Lugiana Muelle Valdez vs Celia Cervino Ruiz
Polymarket#cf56e840876b	voided	Dota 2: Vici Gaming vs PlayTime (BO3) - Esports World Cup Survival
Polymarket#d2099aebd7f6	voided	Wimbledon WTA (Doubles): Osorio/Sierra vs Williams/Williams
Polymarket#d46e26713662	voided	Set Handicap: Shiraishi (-1.5) vs Lee (+1.5)
Polymarket#e3a278addc31	voided	Cervia: Ivan Ivanov vs Franco Roncadelli
Polymarket#e871a91aafb5	voided	Muchova vs. Osaka: Match O/U 22.5
Polymarket#e8ef373d34bc	voided	Todi: Oriol Roca Batalla vs Federico Bondioli
Polymarket#f03ded1a9273	voided	Dota 2: Ilbirs eSports vs Noir Esports (BO3) - European Pro League Group B
Polymarket#f0eb629e2600	voided	Roland Garros ATP: Matteo Arnaldi vs Flavio Cobolli
Polymarket#f1f6f86aff78	voided	Map 3 Total Rounds: Over/Under 22.5
Polymarket#f87f9fc600c6	voided	ITF Estepona: Alice Gillan vs Mariam Bolkvadze
Polymarket#s_014588025b	resolution=None	Will OpenAI’s market cap be between $1.25T and $1.5T at market close on IPO day?
Polymarket#s_01df955321	resolution=None	Will San Marino be in the top 5 at Eurovision 2026?
Polymarket#s_05b3a6c845	resolution=None	Nvidia Data Center Revenue above 60B in Q1?
Polymarket#s_0e00a6ce3d	resolution=None	Will Japan GDP growth in Q1 2026 be between 0.0% and 0.2%?
Polymarket#s_0e0438fc42	resolution=None	Iran closes its airspace by May 15?
Polymarket#s_0ebce4ece2	resolution=None	Will Misti Cordell be the Republican nominee for LA-05?
Polymarket#s_0f530309e9	resolution=None	US x Iran permanent peace deal by May 13, 2026?
Polymarket#s_0f657c9b32	resolution=None	Will NVIDIA be the second-largest company in the world by market cap on May 31?
Polymarket#s_1b274a8c4f	resolution=None	Nvidia Data Center Revenue above 50B in Q1?
Polymarket#s_2076c3abf7	resolution=None	Will S&P 500 (SPX) hit $7,450 (HIGH) in June?
Polymarket#s_215e9190a5	resolution=None	Will Dee Valladares win Survivor Season 50?
Polymarket#s_23e416c76e	resolution=None	Will London have less than 5mm of precipitation in May?
Polymarket#s_27a0fae154	resolution=None	Will Japan GDP growth in Q1 2026 be between 0.0% and 0.2%?
Polymarket#s_28b6fc6b44	voided	Will Sergio Perez finish on the podium at the 2026 F1 Bahrain Grand Prix?
Polymarket#s_29b16ccf9a	resolution=None	Will Elon Musk post 200-219 tweets from May 5 to May 12, 2026?
Polymarket#s_2a235c515f	resolution=None	Will Japan GDP growth in Q1 2026 be between 0.6% and 0.8%?
Polymarket#s_2feeb28e64	resolution=None	Will Switzerland advance through the second Eurovision Semi-Final?
Polymarket#s_358c602617	resolution=None	Will Chrissy Hofbeck win Survivor Season 50?
Polymarket#s_3632c86c21	resolution=None	Will Apple be the third-largest company in the world by market cap on May 31?
Polymarket#s_388ea43412	voided	KBO: NC Dinos vs. SSG Landers
Polymarket#s_38963b3ee6	resolution=None	Will the highest temperature in Tel Aviv be 32°C or higher on May 14?
Polymarket#s_3ce0bdceb3	resolution=None	Will Drake release Iceman before GTA VI?
Polymarket#s_452eec3bf2	resolution=None	Will Argentina’s monthly inflation in April 2026 be between 2.2% and 2.4%?
Polymarket#s_49cd9cd026	resolution=None	Will Andy Barr be the Republican nominee for Senate in Kentucky?
Polymarket#s_4d9202cf07	resolution=None	Will Oman send warships through the Strait of Hormuz by May 31, 2026?
Polymarket#s_4eb0c5e424	voided	Game 3: Both Teams Destroy Inhibitors?
Polymarket#s_50f87eca78	resolution=None	Will Patrick Kopke-Hales win the 2026 Oregon Governor Republican primary election?
Polymarket#s_51dd8cae6e	resolution=None	Will the price of Ethereum be above $2,100 on May 13?
Polymarket#s_5253695afc	resolution=None	Will 230 to 259 tornadoes occur in the United States in April 2026?
Polymarket#s_58e93f4c6a	resolution=None	US x Cuba diplomatic meeting by May 31, 2026?
Polymarket#s_59acc1a846	resolution=None	Kevin Warsh confirmed as Fed Chair by May 15?
Polymarket#s_5d07f73ef2	resolution=None	Will the price of Bitcoin be above $78,000 on May 13?
Polymarket#s_5d3820f46d	resolution=None	KK Studentski Centar vs. Mega Mozzart
Polymarket#s_5fa3c8a34b	resolution=None	Will Lexi Howard die in Euphoria: Season 3?
Polymarket#s_6304155569	resolution=None	Will the Fed Pause–Pause–Cut in the next three decisions (Mar–Apr–Jun)?
Polymarket#s_6482ed04e2	resolution=None	Will "Disney Twisted-Wonderland: The Animation — Season 1 'Episode of Heartslabyul'" win Best Isekai Anime at the 2026 Crunchyroll Anime Awards?
Polymarket#s_6753d04676	resolution=None	US obtains Iranian enriched uranium by May 31?
Polymarket#s_6cd92e127e	voided	Will there be a run scored in the first inning?: Toronto Blue Jays vs. Chicago White Sox
Polymarket#s_708db8c0b6	resolution=None	Will the price of Bitcoin be above $78,000 on May 14?
Polymarket#s_753866addd	resolution=None	Will Chris Tungseth win American Idol Season 24?
Polymarket#s_7f0c052a42	resolution=None	Will George Forsyth finish in second place in the first round of the 2026 Peruvian presidential election?
Polymarket#s_8129ab73d1	resolution=None	Will Argentina’s monthly inflation in April 2026 be between 2.8% and 3.0%?
Polymarket#s_817424b21e	resolution=None	Will Japan GDP growth in Q1 2026 be less than or equal to -0.4%?
Polymarket#s_825c903f2b	resolution=None	Will the price of Ethereum be above $2,400 on May 12?
Polymarket#s_85902cc37d	resolution=None	Will George Forsyth finish in second place in the first round of the 2026 Peruvian presidential election?
Polymarket#s_876ea0eb85	resolution=None	Will Luxembourg win Eurovision 2026?
Polymarket#s_87d175b379	resolution=None	Will the price of XRP be above $1.50 on May 14?
Polymarket#s_89ccddee50	resolution=None	Will global temperature increase by more than 1.29ºC in April 2026?
Polymarket#s_8afbff5928	resolution=None	Will Real Madrid CF win on 2026-05-14?
Polymarket#s_8cfc76c49c	resolution=None	US obtains Iranian enriched uranium by May 31?
Polymarket#s_8d5062ad2f	resolution=None	Gemini 3.2 released by May 22, 2026?
Polymarket#s_8ec46fa787	resolution=None	UK Cabinet Minister resigns by June 30, 2026?
Polymarket#s_8f2e046f83	resolution=None	Will global temperature increase by between 1.20ºC and 1.24ºC in April 2026?
Polymarket#s_92c68b7605	resolution=None	Will Welsh Labour win the most seats in the 2026 Welsh Senedd election?
Polymarket#s_96a0273fac	resolution=None	Will Aubry Bracco win Survivor Season 50?
Polymarket#s_9815a9eadd	resolution=None	Fenerbahce vs. Besiktas
Polymarket#s_99774001e2	voided	Will Franco Colapinto finish on the podium at the 2026 F1 Bahrain Grand Prix?
Polymarket#s_9e28f802cd	resolution=None	Will Luxembourg win Eurovision 2026?
Polymarket#s_9eb911182c	resolution=None	Will Russia capture Huliaipilske by May 31?
Polymarket#s_a29f959958	resolution=None	Will Finland advance through the first Eurovision Semi-Final?
Polymarket#s_a45df6d782	resolution=None	Will Japan GDP growth in Q1 2026 be less than or equal to -0.4%?
Polymarket#s_aa461c7f95	resolution=None	Will Chrissy Hofbeck win Survivor Season 50?
Polymarket#s_ac2e032860	voided	Who will finish higher: Leclerc or Hamilton?
Polymarket#s_ad60aece04	resolution=None	Will Carlos Álvarez finish in first place in the first round of the 2026 Peruvian presidential election?
Polymarket#s_af996744bd	resolution=None	Cory Mills out as US Rep by May 31?
Polymarket#s_b5fc3d43d3	resolution=None	Will Japan GDP growth in Q1 2026 be between 0.9% and 1.1%?
Polymarket#s_b7adcf6c5e	resolution=None	Will Yonhy Lescano finish in second place in the first round of the 2026 Peruvian presidential election?
Polymarket#s_b89ffbcd67	resolution=None	Will AJ Brown be traded?
Polymarket#s_baa1508009	resolution=None	Will turnout in the first round of the 2026 Peruvian presidential election be between 75% and 80%?
Polymarket#s_bc9b161ab7	resolution=None	Will Rick Edmonds be the Republican nominee for LA-05?
Polymarket#s_bf3e006fa2	resolution=None	Will global temperature increase by between 1.10ºC and 1.14ºC in April 2026?
Polymarket#s_c4b2223219	resolution=None	Will Russia capture Dovha Balka by May 31?
Polymarket#s_c8c1caf60b	resolution=None	Will Dee Valladares win Survivor Season 50?
Polymarket#s_c8c87c0770	resolution=None	Will Alfonso López Chau finish in second place in the first round of the 2026 Peruvian presidential election?
Polymarket#s_cb1e08b19d	resolution=None	Will CZ post 20-39 posts from May 5 to May 12, 2026?
Polymarket#s_cf8c93b9ef	resolution=None	Will the price of Bitcoin be between $82,000 and $84,000 on May 14?
Polymarket#s_d285de4480	resolution=None	Will Rick Edmonds be the Republican nominee for LA-05?
Polymarket#s_d38de0184a	resolution=None	Will Maddy Perez die in Euphoria: Season 3?
Polymarket#s_d5d552da61	resolution=None	Will Elon Musk post 140-159 tweets from May 8 to May 15, 2026?
Polymarket#s_d91bc06a96	resolution=None	Will UK GDP growth in Q1 2026 be between 0.3% and 0.6%?
Polymarket#s_d99b4a5641	resolution=None	Will Genevieve Heyward win American Idol Season 24?
Polymarket#s_dffa5fcfe5	resolution=None	Will the price of Ethereum be between $2,300 and $2,400 on May 14?
Polymarket#s_e25adddf05	resolution=None	Will Patrick Kopke-Hales win the 2026 Oregon Governor Republican primary election?
Polymarket#s_e4e4b86c37	resolution=None	Jerome Powell out as Fed Chair by May 14, 2026?
Polymarket#s_e81acc60d8	resolution=None	Will the price of Bitcoin be above $76,000 on May 12?
Polymarket#s_e996d5c1c2	resolution=None	Will UK GDP growth in Q1 2026 be between 1.2% and 1.5%?
Polymarket#s_e99ed1899b	voided	Who will finish higher: Bortoleto or Hulkenberg?
Polymarket#s_ebc56461f9	resolution=None	Will Elon Musk post 140-159 tweets from May 5 to May 12, 2026?
Polymarket#s_edda6ee62d	resolution=None	Will Colby Donaldson win Survivor Season 50?
Polymarket#s_f06a03d761	resolution=None	Will France win Eurovision 2026?
Polymarket#s_f2de58ce0f	resolution=None	Will Saudi Arabia send warships through the Strait of Hormuz by May 31, 2026?
Polymarket#s_f399579780	resolution=None	Will Brazil’s Q1 2026 GDP growth rate (YoY) be between 0.7% and 1.0%?
Polymarket#s_f409953795	resolution=None	Will Mike Thurmond win the 2026 Georgia Governor Democratic primary election?
Polymarket#s_f894c94684	resolution=None	Will Colby Donaldson win Survivor Season 50?
Polymarket#s_f939ed9132	resolution=None	Will Cyprus be in the top 10 at Eurovision 2026?
Polymarket#s_fcd8466896	resolution=None	Will Misti Cordell be the Republican nominee for LA-05?
Polymarket#s_fd886e32d7	resolution=None	Will the price of Ethereum be above $2,300 on May 14?
Polymarket#s_ffb77b70d1	resolution=None	Will Claude 5 be released by May 31, 2026?
