question_key	question
Sooth_QGen#009d266b272e	Will the Kalshi YES mid-market price for Detroit (Minnesota vs Detroit) land in the 50-60¢ bucket at game start (2026-06-11)?
Sooth_QGen#00a0bee24f68	Will the Kalshi YES mid-market price for Philadelphia (Philadelphia vs Milwaukee) land in the 80-90¢ bucket at game start (2026-06-14)?
Sooth_QGen#00b37ec9829f	Will the Kalshi YES mid-market price for Cleveland (Detroit vs Cleveland) land in the 70-80¢ bucket at game start (2026-06-13)?
Sooth_QGen#00b4d5265662	Will the Kalshi YES mid-market price for Tampa Bay (Tampa Bay vs Los Angeles A) land in the 70-80¢ bucket at game start (2026-06-14)?
Sooth_QGen#00b580e07811	Will the Kalshi YES mid-market price for Milwaukee (Milwaukee vs A's) land in the 10-20¢ bucket at game start (2026-06-11)?
Sooth_QGen#00c90df0a348	Will the Kalshi YES mid-market price for Minnesota (Kansas City vs Minnesota) land in the 30-40¢ bucket at game start (2026-06-06)?
Sooth_QGen#00cb45293575	Will the Kalshi YES mid-market price for Cleveland (Cleveland vs Texas) land in the 40-50¢ bucket at game start (2026-06-06)?
Sooth_QGen#00d1c767fb8a	Will the Kalshi YES mid-market price for Philadelphia (Chicago WS vs Philadelphia) land in the 40-50¢ bucket at game start (2026-06-07)?
Sooth_QGen#00d3d49b7ed1	Will the Kalshi YES mid-market price for Atlanta (Atlanta vs Cincinnati) land in the 30-40¢ bucket at game start (2026-05-31)?
Sooth_QGen#0118db9b22ce	Will the Kalshi YES mid-market price for New York (Game 4: San Antonio at New York) land in the 70-80¢ bucket at game start (2026-06-11)?
Sooth_QGen#0125897f4b8c	Will the Kalshi YES mid-market price for Tampa Bay (Detroit vs Tampa Bay) land in the 50-60¢ bucket at game start (2026-06-01)?
Sooth_QGen#0128f56a966c	Will the Kalshi YES mid-market price for Texas (Texas vs Boston) land in the 90-100¢ bucket at game start (2026-06-12)?
Sooth_QGen#0131f9705db3	Will the Kalshi YES mid-market price for Houston (Houston vs Texas) land in the 0-10¢ bucket at game start (2026-05-28)?
Sooth_QGen#01546a79b08d	Will the Kalshi YES mid-market price for Texas (Cleveland vs Texas) land in the 80-90¢ bucket at game start (2026-06-06)?
Sooth_QGen#015c3ae00658	Will the Kalshi YES mid-market price for Cleveland (Boston vs Cleveland) land in the 60-70¢ bucket at game start (2026-05-29)?
Sooth_QGen#0168313d994d	Will the Kalshi YES mid-market price for Detroit (Detroit vs Cleveland) land in the 70-80¢ bucket at game start (2026-06-14)?
Sooth_QGen#0176a45d99fe	Will the Kalshi YES mid-market price for Detroit (Seattle vs Detroit) land in the 20-30¢ bucket at game start (2026-06-06)?
Sooth_QGen#0179367ac14d	Will the Kalshi YES mid-market price for Los Angeles A (Tampa Bay vs Los Angeles A) land in the 60-70¢ bucket at game start (2026-06-13)?
Sooth_QGen#017ed1ca5ea5	Will the Kalshi YES mid-market price for Detroit (Detroit vs Chicago WS) land in the 10-20¢ bucket at game start (2026-05-31)?
Sooth_QGen#01808b9c95fb	Will the Kalshi YES mid-market price for Arizona (Los Angeles A vs Arizona) land in the 30-40¢ bucket at game start (2026-06-16)?
Sooth_QGen#018384231ed4	Will the Kalshi YES mid-market price for Miami (Miami vs Washington) land in the 60-70¢ bucket at game start (2026-06-02)?
Sooth_QGen#01849bf20298	Will the Kalshi YES mid-market price for Milwaukee (St. Louis vs Milwaukee) land in the 10-20¢ bucket at game start (2026-05-27)?
Sooth_QGen#018e3eb5ae06	Will the Kalshi YES mid-market price for Kansas City (Houston vs Kansas City) land in the 40-50¢ bucket at game start (2026-06-14)?
Sooth_QGen#0194ad7acc88	Will the Kalshi YES mid-market price for Chicago C (Chicago C vs Pittsburgh) land in the 80-90¢ bucket at game start (2026-05-27)?
Sooth_QGen#019aaf07a634	Will the Kalshi YES mid-market price for Los Angeles A (Los Angeles A vs Los Angeles D) land in the 80-90¢ bucket at game start (2026-06-07)?
Sooth_QGen#019c95572fb3	Will the Kalshi YES mid-market price for Houston (Milwaukee vs Houston) land in the 60-70¢ bucket at game start (2026-05-31)?
Sooth_QGen#01a1fe5b2c93	Will the Kalshi YES mid-market price for Minnesota (Kansas City vs Minnesota) land in the 80-90¢ bucket at game start (2026-06-04)?
Sooth_QGen#01b130e250a2	Will the Kalshi YES mid-market price for Jakub Mensik (Will Jakub Mensik win the Mensik vs Zverev: Semifinal match) land in the 40-50¢ bucket at game start (2026-06-05)?
Sooth_QGen#01b31cba2a03	Will the Kalshi YES mid-market price for Milwaukee (Milwaukee vs Houston) land in the 40-50¢ bucket at game start (2026-05-30)?
Sooth_QGen#01c62af936b3	Will the Kalshi YES mid-market price for Milwaukee (Milwaukee vs Colorado) land in the 70-80¢ bucket at game start (2026-06-07)?
Sooth_QGen#01d4bf01cb92	Will the Kalshi YES mid-market price for Miami (Miami vs Washington) land in the 0-10¢ bucket at game start (2026-06-03)?
Sooth_QGen#01f2c6f1a724	Will the Kalshi YES mid-market price for Tampa Bay (Boston vs Tampa Bay) land in the 20-30¢ bucket at game start (2026-06-09)?
Sooth_QGen#01f4b606462f	Will the Kalshi YES mid-market price for A's (Colorado vs A's) land in the 30-40¢ bucket at game start (2026-06-14)?
Sooth_QGen#01fa7e326279	Will the Kalshi YES mid-market price for Pittsburgh (Pittsburgh vs Houston) land in the 20-30¢ bucket at game start (2026-06-03)?
Sooth_QGen#0224610db8bc	Will the Kalshi YES mid-market price for Toronto (Baltimore vs Toronto) land in the 50-60¢ bucket at game start (2026-06-07)?
Sooth_QGen#022755a1e079	Will the Kalshi YES mid-market price for Philadelphia (Philadelphia vs Los Angeles D) land in the 70-80¢ bucket at game start (2026-05-31)?
Sooth_QGen#022b7865f75c	Will the Kalshi YES mid-market price for Toronto (New York Y vs Toronto) land in the 50-60¢ bucket at game start (2026-06-14)?
Sooth_QGen#024b3c53ee9e	Will the Kalshi YES mid-market price for Texas (Texas vs St. Louis) land in the 0-10¢ bucket at game start (2026-06-02)?
Sooth_QGen#024b661ef324	Will the Kalshi YES mid-market price for Los Angeles D (Philadelphia vs Los Angeles D) land in the 20-30¢ bucket at game start (2026-05-31)?
Sooth_QGen#026e084bed3e	Will the Kalshi YES mid-market price for Tampa Bay (Detroit vs Tampa Bay) land in the 10-20¢ bucket at game start (2026-06-01)?
Sooth_QGen#02745954d34c	Will the Kalshi YES mid-market price for Boston (Texas vs Boston) land in the 50-60¢ bucket at game start (2026-06-12)?
Sooth_QGen#027b872c2bb5	Will the Kalshi YES mid-market price for Los Angeles A (Tampa Bay vs Los Angeles A) land in the 50-60¢ bucket at game start (2026-06-13)?
Sooth_QGen#027f013db479	Will the Kalshi YES mid-market price for Seattle (Arizona vs Seattle) land in the 40-50¢ bucket at game start (2026-05-31)?
Sooth_QGen#02907dc198e8	Will the Kalshi YES mid-market price for Seattle (New York M vs Seattle) land in the 20-30¢ bucket at game start (2026-06-03)?
Sooth_QGen#0299e8ca58b5	Will the Kalshi YES mid-market price for Boston (Boston vs New York Y) land in the 10-20¢ bucket at game start (2026-06-07)?
Sooth_QGen#02a6f96fc410	Will the Kalshi YES mid-market price for Tampa Bay (Tampa Bay vs Miami) land in the 20-30¢ bucket at game start (2026-06-07)?
Sooth_QGen#02a91d39efc9	Will the Kalshi YES mid-market price for Arizona (Arizona vs Miami) land in the 80-90¢ bucket at game start (2026-06-10)?
Sooth_QGen#02abca9a8f67	Will the Kalshi YES mid-market price for New York M (New York M vs Seattle) land in the 90-100¢ bucket at game start (2026-06-03)?
Sooth_QGen#02b283e149c2	Will the Kalshi YES mid-market price for New York Y (New York Y vs Toronto) land in the 90-100¢ bucket at game start (2026-06-12)?
Sooth_QGen#02b8fa9be2e9	Will the Kalshi YES mid-market price for Cincinnati (New York M vs Cincinnati) land in the 10-20¢ bucket at game start (2026-06-15)?
Sooth_QGen#02b932d71991	Will the Kalshi YES mid-market price for Philadelphia (San Diego vs Philadelphia) land in the 10-20¢ bucket at game start (2026-06-04)?
Sooth_QGen#02baf2891a6f	Will the Kalshi YES mid-market price for Arizona (Arizona vs Miami) land in the 60-70¢ bucket at game start (2026-06-10)?
Sooth_QGen#02c26334fac4	Will the Kalshi YES mid-market price for Tampa Bay (Tampa Bay vs Los Angeles A) land in the 50-60¢ bucket at game start (2026-06-13)?
Sooth_QGen#02c36357ace7	Will the Kalshi YES mid-market price for Los Angeles D (Los Angeles D vs Pittsburgh) land in the 80-90¢ bucket at game start (2026-06-09)?
Sooth_QGen#02c57d429f35	Will the Kalshi YES mid-market price for Chicago C (A's vs Chicago C) land in the 80-90¢ bucket at game start (2026-06-04)?
Sooth_QGen#02e5dd081414	Will the Kalshi YES mid-market price for CAR Hurricanes (Game 4: Carolina at Vegas) land in the 40-50¢ bucket at game start (2026-06-10)?
Sooth_QGen#02e916cbc8e0	Will the Kalshi YES mid-market price for Philadelphia (Philadelphia vs Toronto) land in the 40-50¢ bucket at game start (2026-06-10)?
Sooth_QGen#02f088d883c9	Will the Kalshi YES mid-market price for Seattle (Will Seattle win the New England vs Seattle Pro Football game) land in the 30-40¢ bucket at game start (2026-09-09)?
Sooth_QGen#02fa8d699766	Will the Kalshi YES mid-market price for Milwaukee (Philadelphia vs Milwaukee) land in the 80-90¢ bucket at game start (2026-06-13)?
Sooth_QGen#02fc7bea0370	Will the Kalshi YES mid-market price for Baltimore (Baltimore vs Toronto) land in the 80-90¢ bucket at game start (2026-06-06)?
Sooth_QGen#030097a6c4c4	Will the Kalshi YES mid-market price for Milwaukee (San Francisco vs Milwaukee) land in the 20-30¢ bucket at game start (2026-06-03)?
Sooth_QGen#030cb32d4ad6	Will the Kalshi YES mid-market price for Texas (Cleveland vs Texas) land in the 30-40¢ bucket at game start (2026-06-06)?
Sooth_QGen#030d5ca0f0e7	Will the Kalshi YES mid-market price for Chicago C (A's vs Chicago C) land in the 10-20¢ bucket at game start (2026-06-03)?
Sooth_QGen#032d13105dc3	Will the Kalshi YES mid-market price for Pittsburgh (Los Angeles D vs Pittsburgh) land in the 60-70¢ bucket at game start (2026-06-11)?
Sooth_QGen#032d45afe94f	Will the Kalshi YES mid-market price for Baltimore (Baltimore vs Toronto) land in the 90-100¢ bucket at game start (2026-06-06)?
Sooth_QGen#03343c0135b2	Will the Kalshi YES mid-market price for Chicago WS (Atlanta vs Chicago WS) land in the 60-70¢ bucket at game start (2026-06-10)?
Sooth_QGen#03464c245ed6	Will the Kalshi YES mid-market price for Chicago C (Chicago C vs San Francisco) land in the 70-80¢ bucket at game start (2026-06-14)?
Sooth_QGen#034e8a91b526	Will the Kalshi YES mid-market price for Toronto (Toronto vs Baltimore) land in the 90-100¢ bucket at game start (2026-05-28)?
Sooth_QGen#03517247b16a	Will the Kalshi YES mid-market price for Texas (Cleveland vs Texas) land in the 70-80¢ bucket at game start (2026-06-07)?
Sooth_QGen#0351a1456f03	Will the Kalshi YES mid-market price for Seattle (New York M vs Seattle) land in the 40-50¢ bucket at game start (2026-06-03)?
Sooth_QGen#0354bf7ab571	Will the Kalshi YES mid-market price for Boston (Boston vs Tampa Bay) land in the 50-60¢ bucket at game start (2026-06-10)?
Sooth_QGen#0358d1aa1054	Will the Kalshi YES mid-market price for New York Y (New York Y vs A's) land in the 30-40¢ bucket at game start (2026-05-31)?
Sooth_QGen#036571f3e0ea	Will the Kalshi YES mid-market price for Los Angeles D (Los Angeles D vs Chicago WS) land in the 50-60¢ bucket at game start (2026-06-12)?
Sooth_QGen#037026ad08ff	Will the Kalshi YES mid-market price for Cincinnati (Cincinnati vs San Diego) land in the 0-10¢ bucket at game start (2026-06-10)?
Sooth_QGen#037480a4fa76	Will the Kalshi YES mid-market price for Colorado (Colorado vs Los Angeles A) land in the 10-20¢ bucket at game start (2026-06-03)?
Sooth_QGen#03805208f9b4	Will the Kalshi YES mid-market price for Seattle (Seattle vs Detroit) land in the 60-70¢ bucket at game start (2026-06-05)?
Sooth_QGen#038320cd97f8	Will the Kalshi YES mid-market price for Detroit (Will Detroit win the New Orleans vs Detroit Pro Football game) land in the 70-80¢ bucket at game start (2026-09-13)?
Sooth_QGen#0387666537e8	Will the Kalshi YES mid-market price for Los Angeles D (Philadelphia vs Los Angeles D) land in the 0-10¢ bucket at game start (2026-05-30)?
Sooth_QGen#038b9b37126b	Will the Kalshi YES mid-market price for Minnesota (Will Minnesota win the Green Bay vs Minnesota Pro Football game) land in the 60-70¢ bucket at game start (2026-09-13)?
Sooth_QGen#038bbff48ae2	Will the Kalshi YES mid-market price for Miami (Miami vs Toronto) land in the 80-90¢ bucket at game start (2026-05-27)?
Sooth_QGen#038e27dbc272	Will the Kalshi YES mid-market price for Boston (Texas vs Boston) land in the 50-60¢ bucket at game start (2026-06-14)?
Sooth_QGen#039676c132c8	Will the Kalshi YES mid-market price for Seattle (Arizona vs Seattle) land in the 50-60¢ bucket at game start (2026-05-31)?
Sooth_QGen#03a29c752bb3	Will the Kalshi YES mid-market price for New York M (Atlanta vs New York M) land in the 50-60¢ bucket at game start (2026-06-13)?
Sooth_QGen#03a9f2b76cf0	Will the Kalshi YES mid-market price for Atlanta (Atlanta vs New York M) land in the 30-40¢ bucket at game start (2026-06-12)?
Sooth_QGen#03bac789a217	Will the Kalshi YES mid-market price for St. Louis (Cincinnati vs St. Louis) land in the 80-90¢ bucket at game start (2026-06-06)?
Sooth_QGen#03bd2978d556	Will the Kalshi YES mid-market price for Cincinnati (Cincinnati vs New York M) land in the 0-10¢ bucket at game start (2026-05-27)?
Sooth_QGen#03ebe0943d27	Will the Kalshi YES mid-market price for Washington (San Diego vs Washington) land in the 20-30¢ bucket at game start (2026-05-30)?
Sooth_QGen#03f43c6555e7	Will the Kalshi YES mid-market price for Tampa Bay (Tampa Bay vs Miami) land in the 60-70¢ bucket at game start (2026-06-06)?
Sooth_QGen#04108256af0a	Will the Kalshi YES mid-market price for CAR Hurricanes (Game 5: Montreal at Carolina) land in the 80-90¢ bucket at game start (2026-05-30)?
Sooth_QGen#0439cdd17ea2	Will the Kalshi YES mid-market price for Las Vegas (Will Las Vegas win the Miami vs Las Vegas Pro Football game) land in the 10-20¢ bucket at game start (2026-09-13)?
Sooth_QGen#043d623fd549	Will the Kalshi YES mid-market price for Francisco Comesana (Will Francisco Comesana win the Comesana vs Darderi: Round Of 64 match) land in the 20-30¢ bucket at game start (2026-05-28)?
Sooth_QGen#04488334354e	Will the Kalshi YES mid-market price for Detroit (Minnesota vs Detroit) land in the 70-80¢ bucket at game start (2026-06-09)?
Sooth_QGen#04491b320b20	Will the Kalshi YES mid-market price for Arizona (Los Angeles A vs Arizona) land in the 60-70¢ bucket at game start (2026-06-16)?
Sooth_QGen#044a2e8262fd	Will the Kalshi YES mid-market price for Jan-Lennard Struff (Will Jan-Lennard Struff win the Struff vs Faria: Round Of 64 match) land in the 60-70¢ bucket at game start (2026-05-28)?
Sooth_QGen#044b92e380ec	Will the Kalshi YES mid-market price for A's (A's vs Chicago C) land in the 20-30¢ bucket at game start (2026-06-05)?
Sooth_QGen#044cd1fe8af5	Will the Kalshi YES mid-market price for San Diego (San Diego vs Washington) land in the 40-50¢ bucket at game start (2026-05-31)?
Sooth_QGen#0462d50abee9	Will the Kalshi YES mid-market price for Los Angeles A (Los Angeles A vs Detroit) land in the 40-50¢ bucket at game start (2026-05-28)?
Sooth_QGen#048240b5e36c	Will the Kalshi YES mid-market price for Texas (Minnesota vs Texas) land in the 50-60¢ bucket at game start (2026-06-16)?
Sooth_QGen#048db47d20a7	Will the Kalshi YES mid-market price for San Francisco (Washington vs San Francisco) land in the 60-70¢ bucket at game start (2026-06-10)?
Sooth_QGen#049d5823ae02	Will the Kalshi YES mid-market price for Los Angeles R (Will Los Angeles R win the San Francisco vs Los Angeles R Pro Football game) land in the 10-20¢ bucket at game start (2026-09-11)?
Sooth_QGen#04a69047705f	Will the Kalshi YES mid-market price for Arizona (Los Angeles D vs Arizona) land in the 50-60¢ bucket at game start (2026-06-04)?
Sooth_QGen#04a82d16f006	Will the Kalshi YES mid-market price for Tampa Bay (Tampa Bay vs Los Angeles A) land in the 70-80¢ bucket at game start (2026-06-14)?
Sooth_QGen#04a8c90a48dd	Will the Kalshi YES mid-market price for Baltimore (Baltimore vs Toronto) land in the 60-70¢ bucket at game start (2026-06-06)?
Sooth_QGen#04ac11298897	Will the Kalshi YES mid-market price for Tampa Bay (Will Tampa Bay win the Tampa Bay vs Cincinnati Pro Football game) land in the 90-100¢ bucket at game start (2026-09-13)?
Sooth_QGen#04b0b53ceb53	Will the Kalshi YES mid-market price for Tampa Bay (Detroit vs Tampa Bay) land in the 30-40¢ bucket at game start (2026-06-03)?
Sooth_QGen#04b4dbb14ed4	Will the Kalshi YES mid-market price for Toronto (Toronto vs Baltimore) land in the 0-10¢ bucket at game start (2026-05-30)?
Sooth_QGen#04beda3acff1	Will the Kalshi YES mid-market price for Kansas City (Kansas City vs Texas) land in the 50-60¢ bucket at game start (2026-05-30)?
Sooth_QGen#04bf2293d8d5	Will the Kalshi YES mid-market price for Milwaukee (St. Louis vs Milwaukee) land in the 60-70¢ bucket at game start (2026-05-27)?
Sooth_QGen#04c201f30c8c	Will the Kalshi YES mid-market price for San Diego (San Diego vs Philadelphia) land in the 40-50¢ bucket at game start (2026-06-03)?
Sooth_QGen#04da44ea42ba	Will the Kalshi YES mid-market price for Philadelphia (Will Philadelphia win the Washington vs Philadelphia Pro Football game) land in the 70-80¢ bucket at game start (2026-09-13)?
Sooth_QGen#04e0d01a0579	Will the Kalshi YES mid-market price for Chicago WS (Detroit vs Chicago WS) land in the 50-60¢ bucket at game start (2026-05-30)?
Sooth_QGen#04e1220188b8	Will the Kalshi YES mid-market price for Pittsburgh (Pittsburgh vs Houston) land in the 60-70¢ bucket at game start (2026-06-05)?
Sooth_QGen#04e5d404fff0	Will the Kalshi YES mid-market price for Philadelphia (Philadelphia vs San Diego) land in the 50-60¢ bucket at game start (2026-05-27)?
Sooth_QGen#05077d7c2c01	Will the Kalshi YES mid-market price for Minnesota (Will Minnesota win the Green Bay vs Minnesota Pro Football game) land in the 0-10¢ bucket at game start (2026-09-13)?
Sooth_QGen#050dc3ccac2f	Will the Kalshi YES mid-market price for Atlanta (Atlanta vs Chicago WS) land in the 50-60¢ bucket at game start (2026-06-10)?
Sooth_QGen#0519cda89762	Will the Kalshi YES mid-market price for MTL Canadiens (Game 5: Montreal at Carolina) land in the 90-100¢ bucket at game start (2026-05-30)?
Sooth_QGen#052652a1dc01	Will the Kalshi YES mid-market price for Pittsburgh (Los Angeles D vs Pittsburgh) land in the 90-100¢ bucket at game start (2026-06-11)?
Sooth_QGen#05277a62ae25	Will the Kalshi YES mid-market price for CAR Hurricanes (Game 5: Vegas at Carolina) land in the 90-100¢ bucket at game start (2026-06-12)?
Sooth_QGen#052d7d5367a1	Will the Kalshi YES mid-market price for Miami (Miami vs Washington) land in the 40-50¢ bucket at game start (2026-06-01)?
Sooth_QGen#052f55ccb622	Will the Kalshi YES mid-market price for St. Louis (Texas vs St. Louis) land in the 50-60¢ bucket at game start (2026-06-02)?
Sooth_QGen#05384ac12c4c	Will the Kalshi YES mid-market price for Seattle (Arizona vs Seattle) land in the 40-50¢ bucket at game start (2026-05-30)?
Sooth_QGen#053cf537e53f	Will the Kalshi YES mid-market price for Los Angeles D (Los Angeles A vs Los Angeles D) land in the 50-60¢ bucket at game start (2026-06-06)?
Sooth_QGen#0545aa933fe0	Will the Kalshi YES mid-market price for A's (A's vs Houston) land in the 90-100¢ bucket at game start (2026-06-06)?
Sooth_QGen#054f6aee9427	Will the Kalshi YES mid-market price for Los Angeles D (Los Angeles D vs Pittsburgh) land in the 30-40¢ bucket at game start (2026-06-09)?
Sooth_QGen#05545c92d814	Will the Kalshi YES mid-market price for Atlanta (Atlanta vs New York M) land in the 10-20¢ bucket at game start (2026-06-12)?
Sooth_QGen#0560c159473e	Will the Kalshi YES mid-market price for Texas (Minnesota vs Texas) land in the 80-90¢ bucket at game start (2026-06-16)?
Sooth_QGen#058ef0e7e411	Will the Kalshi YES mid-market price for Houston (Houston vs Los Angeles A) land in the 0-10¢ bucket at game start (2026-06-09)?
Sooth_QGen#059c37be0ac6	Will the Kalshi YES mid-market price for San Francisco (San Francisco vs Colorado) land in the 40-50¢ bucket at game start (2026-05-30)?
Sooth_QGen#05aecfe6e4e7	Will the Kalshi YES mid-market price for Chicago WS (Atlanta vs Chicago WS) land in the 90-100¢ bucket at game start (2026-06-11)?
Sooth_QGen#05b1286df5db	Will the Kalshi YES mid-market price for Baltimore (San Diego vs Baltimore) land in the 40-50¢ bucket at game start (2026-06-14)?
Sooth_QGen#05ba1bd20827	Will the Kalshi YES mid-market price for Minnesota (St. Louis vs Minnesota) land in the 70-80¢ bucket at game start (2026-06-14)?
Sooth_QGen#05c36a412142	Will the Kalshi YES mid-market price for Washington (Miami vs Washington) land in the 20-30¢ bucket at game start (2026-06-02)?
Sooth_QGen#05cd21da8468	Will the Kalshi YES mid-market price for San Diego (Cincinnati vs San Diego) land in the 0-10¢ bucket at game start (2026-06-10)?
Sooth_QGen#05ce8a086356	Will the Kalshi YES mid-market price for Miami (Tampa Bay vs Miami) land in the 80-90¢ bucket at game start (2026-06-07)?
Sooth_QGen#05f054150b19	Will the Kalshi YES mid-market price for Texas (Texas vs St. Louis) land in the 60-70¢ bucket at game start (2026-06-01)?
Sooth_QGen#05faba6fb871	Will the Kalshi YES mid-market price for St. Louis (Chicago C vs St. Louis) land in the 30-40¢ bucket at game start (2026-05-29)?
Sooth_QGen#060904192251	Will the Kalshi YES mid-market price for San Francisco (San Francisco vs Colorado) land in the 90-100¢ bucket at game start (2026-05-31)?
Sooth_QGen#060cf8f97a46	Will the Kalshi YES mid-market price for Minnesota (Minnesota vs Chicago WS) land in the 0-10¢ bucket at game start (2026-05-28)?
Sooth_QGen#0612f2732d2d	Will the Kalshi YES mid-market price for Chicago C (Chicago C vs Colorado) land in the 90-100¢ bucket at game start (2026-06-11)?
Sooth_QGen#06321360f710	Will the Kalshi YES mid-market price for Atlanta (Will Atlanta win the Atlanta vs Pittsburgh Pro Football game) land in the 10-20¢ bucket at game start (2026-09-13)?
Sooth_QGen#0640ebda1df3	Will the Kalshi YES mid-market price for CAR Hurricanes (Game 1: Vegas at Carolina) land in the 20-30¢ bucket at game start (2026-06-03)?
Sooth_QGen#06428dca5be4	Will the Kalshi YES mid-market price for New York Y (Boston vs New York Y) land in the 50-60¢ bucket at game start (2026-06-07)?
Sooth_QGen#0651b246e94e	Will the Kalshi YES mid-market price for San Francisco (Washington vs San Francisco) land in the 60-70¢ bucket at game start (2026-06-09)?
Sooth_QGen#0661506a456f	Will the Kalshi YES mid-market price for Atlanta (Will Atlanta win the Atlanta vs Pittsburgh Pro Football game) land in the 20-30¢ bucket at game start (2026-09-13)?
Sooth_QGen#0661f59dacef	Will the Kalshi YES mid-market price for Boston (Boston vs New York Y) land in the 30-40¢ bucket at game start (2026-06-06)?
Sooth_QGen#06657995cd10	Will the Kalshi YES mid-market price for Learner Tien (Will Learner Tien win the Diaz Acosta vs Tien: Round Of 64 match) land in the 30-40¢ bucket at game start (2026-05-28)?
Sooth_QGen#06743c9b8fbc	Will the Kalshi YES mid-market price for Washington (Miami vs Washington) land in the 20-30¢ bucket at game start (2026-06-01)?
Sooth_QGen#0675eab8c3bd	Will the Kalshi YES mid-market price for Los Angeles A (Los Angeles A vs Arizona) land in the 50-60¢ bucket at game start (2026-06-16)?
Sooth_QGen#0685519e00bd	Will the Kalshi YES mid-market price for San Francisco (Washington vs San Francisco) land in the 50-60¢ bucket at game start (2026-06-10)?
Sooth_QGen#0688eda2963a	Will the Kalshi YES mid-market price for Philadelphia (Will Philadelphia win the Washington vs Philadelphia Pro Football game) land in the 20-30¢ bucket at game start (2026-09-13)?
Sooth_QGen#069ba162a44e	Will the Kalshi YES mid-market price for San Diego (San Diego vs Washington) land in the 20-30¢ bucket at game start (2026-05-30)?
Sooth_QGen#06a657cbc7d1	Will the Kalshi YES mid-market price for Los Angeles D (Los Angeles D vs Pittsburgh) land in the 20-30¢ bucket at game start (2026-06-10)?
Sooth_QGen#06aa96c24a48	Will the Kalshi YES mid-market price for Los Angeles C (Will Los Angeles C win the Arizona vs Los Angeles C Pro Football game) land in the 80-90¢ bucket at game start (2026-09-13)?
Sooth_QGen#06b5ad15c46c	Will the Kalshi YES mid-market price for St. Louis (Texas vs St. Louis) land in the 70-80¢ bucket at game start (2026-06-03)?
Sooth_QGen#06ce88783501	Will the Kalshi YES mid-market price for New York Y (Boston vs New York Y) land in the 60-70¢ bucket at game start (2026-06-06)?
Sooth_QGen#06e1ba1c600c	Will the Kalshi YES mid-market price for Chicago WS (Chicago WS vs Minnesota) land in the 40-50¢ bucket at game start (2026-06-03)?
Sooth_QGen#06e1cd39e121	Will the Kalshi YES mid-market price for Kansas City (Kansas City vs Minnesota) land in the 0-10¢ bucket at game start (2026-06-07)?
Sooth_QGen#06f13cb895df	Will the Kalshi YES mid-market price for Boston (Atlanta vs Boston) land in the 40-50¢ bucket at game start (2026-05-28)?
Sooth_QGen#06f86df0fe10	Will the Kalshi YES mid-market price for Arizona (Los Angeles D vs Arizona) land in the 70-80¢ bucket at game start (2026-06-03)?
